,com.google.common.base,com.google.common.base.internal,com.google.common.cache,com.google.common.collect,com.google.common.escape,com.google.common.eventbus,com.google.common.graph,com.google.common.hash,com.google.common.html,com.google.common.io,com.google.common.math,com.google.common.net,com.google.common.primitives,com.google.common.reflect,com.google.common.util.concurrent,com.google.common.xml,com.google.thirdparty.publicsuffix,sum_out
com.google.common.base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.common.base.internal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.common.cache,219,0,0,29,0,0,0,0,0,0,16,0,1,0,18,0,0,283
com.google.common.collect,975,0,0,0,0,0,0,0,0,0,21,0,26,0,0,0,0,1022
com.google.common.escape,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
com.google.common.eventbus,33,0,8,16,0,0,0,0,0,0,0,0,1,6,4,0,0,68
com.google.common.graph,128,0,0,104,0,0,0,0,0,0,5,0,1,0,0,0,0,238
com.google.common.hash,82,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,106
com.google.common.html,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
com.google.common.io,211,0,0,16,0,0,2,4,0,0,5,0,5,0,0,0,0,243
com.google.common.math,84,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,111
com.google.common.net,131,0,0,40,0,0,0,3,0,6,0,0,3,0,0,0,0,183
com.google.common.primitives,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
com.google.common.reflect,71,0,0,130,0,0,0,0,0,2,0,0,3,0,0,0,0,206
com.google.common.util.concurrent,213,0,0,115,0,0,0,0,0,0,2,0,5,0,0,0,0,335
com.google.common.xml,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15
com.google.thirdparty.publicsuffix,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6
sum_in,2387,0,8,454,22,0,2,7,0,8,51,0,94,6,22,0,0,
