,com.google.common.base,com.google.common.base.internal,com.google.common.cache,com.google.common.collect,com.google.common.escape,com.google.common.eventbus,com.google.common.graph,com.google.common.hash,com.google.common.html,com.google.common.io,com.google.common.math,com.google.common.net,com.google.common.primitives,com.google.common.reflect,com.google.common.util.concurrent,com.google.common.xml,com.google.thirdparty.publicsuffix,sum_out
com.google.common.base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.common.base.internal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.google.common.cache,221,0,0,29,0,0,0,0,0,0,16,0,1,0,12,0,0,279
com.google.common.collect,974,0,0,0,0,0,0,0,0,0,21,0,26,0,0,0,0,1021
com.google.common.escape,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
com.google.common.eventbus,32,0,8,12,0,0,0,0,0,0,0,0,1,2,2,0,0,57
com.google.common.graph,128,0,0,113,0,0,0,0,0,0,5,0,1,0,0,0,0,247
com.google.common.hash,83,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,108
com.google.common.html,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
com.google.common.io,211,0,0,17,0,0,2,4,0,0,5,0,5,0,0,0,0,244
com.google.common.math,84,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,116
com.google.common.net,131,0,0,33,1,0,0,3,0,6,0,0,3,0,0,0,0,177
com.google.common.primitives,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
com.google.common.reflect,73,0,0,124,0,0,0,0,0,2,0,0,3,0,0,0,0,202
com.google.common.util.concurrent,188,0,0,93,0,0,0,0,0,0,2,0,5,0,0,0,0,288
com.google.common.xml,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15
com.google.thirdparty.publicsuffix,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6
sum_in,2365,0,8,425,23,0,2,7,0,8,51,0,100,2,14,0,0,
