,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.collect.PeekingIterator,0,0,0,0,0,
com.google.common.collect.FilteredKeyListMultimap,4,2,1,0,0,
com.google.common.util.concurrent.CollectionFuture,1,1,2,0,0,
com.google.common.collect.RegularImmutableMap,19,3,0,4,0,
com.google.common.math.Quantiles,9,0,2,0,0,
com.google.common.collect.AbstractSortedKeySortedSetMultimap,4,1,0,0,0,
com.google.common.cache.CacheBuilderSpec,69,0,5,7,0,
com.google.common.base.Joiner,8,0,0,0,0,
com.google.common.graph.StandardMutableGraph,10,2,0,1,0,
com.google.common.net.HostSpecifier,9,0,1,0,0,
com.google.common.util.concurrent.AsyncCallable,0,0,0,0,0,
com.google.common.base.Functions,20,6,0,4,0,
com.google.common.math.DoubleUtils,2,0,0,0,0,
com.google.common.graph.MapRetrievalCache,4,1,0,0,0,
com.google.common.util.concurrent.Service,0,0,0,0,0,
com.google.common.cache.RemovalListeners,3,0,0,0,0,
com.google.common.collect.StandardTable,67,4,3,1,0,
com.google.common.collect.ImmutableEntry,0,1,0,0,0,
com.google.common.util.concurrent.SimpleTimeLimiter,21,1,2,0,0,
com.google.common.graph.EndpointPair,6,0,3,0,0,
com.google.common.graph.ValueGraphBuilder,11,1,1,0,0,
com.google.common.io.Java8Compatibility,0,0,0,0,0,
com.google.common.collect.AbstractMapBasedMultiset,28,1,1,0,0,
com.google.common.hash.ChecksumHashFunction,7,2,0,1,0,
com.google.common.collect.EnumBiMap,9,1,0,0,0,
com.google.common.escape.Platform,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMultisetFauxverideShim,0,1,0,0,0,
com.google.common.collect.EmptyImmutableListMultimap,1,1,0,0,0,
com.google.common.eventbus.SubscriberRegistry,29,0,16,3,0,
com.google.common.collect.ForwardingList,8,1,0,0,0,
com.google.common.primitives.DoublesMethodsForWeb,0,0,0,0,0,
com.google.common.collect.HashBiMap,35,5,1,1,0,
com.google.common.collect.Ordering,15,0,1,0,0,
com.google.common.graph.MutableNetwork,0,0,0,0,0,
com.google.common.collect.EnumMultiset,15,1,1,0,0,
com.google.common.collect.AllEqualOrdering,2,1,0,0,0,
com.google.common.collect.ForwardingImmutableMap,0,0,0,0,0,
com.google.common.collect.TopKSelector,8,0,1,0,0,
com.google.common.base.FinalizableReferenceQueue,1,0,0,0,0,
com.google.common.collect.ImmutableMapEntrySet,10,1,0,3,0,
com.google.common.collect.Multimaps,156,13,4,10,0,
com.google.common.collect.ClassToInstanceMap,0,0,0,0,0,
com.google.common.collect.ImmutableMultiset,51,3,0,4,0,
com.google.common.util.concurrent.UncheckedTimeoutException,0,0,0,0,0,
com.google.common.hash.Hasher,0,0,0,0,0,
com.google.common.io.ByteSource,95,1,7,0,0,
com.google.common.primitives.UnsignedBytes,13,0,0,0,0,
com.google.common.graph.DirectedNetworkConnections,7,1,3,0,0,
com.google.common.collect.ForwardingNavigableMap,10,1,0,0,0,
com.google.common.base.FinalizablePhantomReference,1,1,0,0,0,
com.google.common.io.MultiInputStream,3,0,0,0,0,
com.google.common.graph.DirectedMultiNetworkConnections,19,1,3,0,0,
com.google.common.collect.ImmutableEnumSet,4,1,0,0,0,
com.google.common.collect.ArrayTable,45,1,1,5,0,
com.google.common.base.Converter,13,1,0,2,0,
com.google.common.collect.LinkedListMultimap,18,3,0,0,0,
com.google.common.collect.MoreCollectors,1,0,0,0,0,
com.google.common.primitives.Doubles,19,2,1,0,0,
com.google.common.util.concurrent.ThreadFactoryBuilder,4,0,0,0,0,
com.google.common.collect.Comparators,8,0,0,0,0,
com.google.common.collect.AbstractMultiset,7,1,0,0,0,
com.google.common.io.LineBuffer,0,0,0,0,0,
com.google.common.primitives.Shorts,21,2,1,0,0,
com.google.common.collect.CompoundOrdering,1,1,0,0,0,
com.google.common.collect.Iterators,73,3,6,1,0,
com.google.common.util.concurrent.UncaughtExceptionHandlers,0,0,0,0,0,
com.google.common.reflect.ImmutableTypeToInstanceMap,10,2,2,2,0,
com.google.common.collect.SortedLists,10,0,1,0,0,
com.google.common.collect.ImmutableRangeSet,126,3,1,5,0,
com.google.common.collect.AbstractSortedSetMultimap,6,2,0,0,0,
com.google.common.collect.ByFunctionOrdering,7,1,2,2,0,
com.google.common.cache.ForwardingLoadingCache,6,2,2,1,0,
