,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.api.metrics.HollowConsumerMetrics,1,0,1,1,0,
com.netflix.hollow.core.read.dataaccess.proxy.HollowObjectProxyDataAccess,12,0,2,2,0,
com.netflix.hollow.api.client.FailedTransitionTracker,8,0,0,3,0,
com.netflix.hollow.tools.diff.count.HollowDiffFieldCountingNode,21,3,1,9,0,
com.netflix.hollow.core.read.engine.HollowReadStateEngine,36,3,2,22,0,
com.netflix.hollow.core.type.accessor.BooleanDataAccessor,4,1,1,5,0,
com.netflix.hollow.api.objects.delegate.HollowCachedDelegate,0,0,0,0,0,
com.netflix.hollow.core.read.engine.map.HollowMapTypeReadState,46,3,2,19,0,
com.netflix.hollow.core.read.engine.HollowBlobReader,74,2,0,21,0,
com.netflix.hollow.core.type.StringHollowFactory,1,0,1,4,0,
com.netflix.hollow.tools.combine.HollowCombinerExcludeOrdinalsCopyDirector,2,0,1,3,0,
com.netflix.hollow.core.read.dataaccess.HollowCollectionTypeDataAccess,0,0,0,0,0,
com.netflix.hollow.core.read.engine.map.HollowMapDeltaApplicator,27,5,0,4,0,
com.netflix.hollow.core.type.delegate.DoubleDelegateCachedImpl,4,1,3,5,0,
com.netflix.hollow.core.util.HollowRecordCollection,0,0,0,0,0,
com.netflix.hollow.api.sampling.SamplingStatusListener,0,0,0,0,0,
com.netflix.hollow.core.write.objectmapper.flatrecords.FlatRecordWriter,48,4,0,18,0,
com.netflix.hollow.api.producer.enforcer.AbstractSingleProducerEnforcer,0,0,2,4,0,
com.netflix.hollow.api.consumer.index.MatchFieldPathArgumentExtractor,7,1,0,13,0,
com.netflix.hollow.core.type.delegate.BooleanDelegate,0,0,0,0,0,
com.netflix.hollow.api.client.HollowClientMemoryConfig,0,0,0,0,0,
com.netflix.hollow.core.memory.pool.RecyclingRecycler,0,0,1,1,0,
com.netflix.hollow.tools.history.keyindex.HollowHistoryKeyIndex,34,3,0,12,0,
com.netflix.hollow.api.producer.enforcer.BasicSingleProducerEnforcer,0,0,1,1,0,
com.netflix.hollow.api.producer.listener.HollowProducerEventListener,0,0,0,0,0,
com.netflix.hollow.core.index.HollowHashIndexBuilder,107,7,0,19,0,
com.netflix.hollow.core.memory.HollowUnsafeHandle,0,0,0,0,0,
com.netflix.hollow.core.type.delegate.FloatDelegateLookupImpl,5,1,2,4,0,
com.netflix.hollow.core.util.LongList,0,0,0,0,0,
com.netflix.hollow.core.type.accessor.LongDataAccessor,4,1,1,5,0,
