,org.mockito,org.mockito.codegen,org.mockito.configuration,org.mockito.creation.instance,org.mockito.exceptions.base,org.mockito.exceptions.misusing,org.mockito.exceptions.stacktrace,org.mockito.exceptions.verification,org.mockito.exceptions.verification.junit,org.mockito.exceptions.verification.opentest4j,org.mockito.hamcrest,org.mockito.internal,org.mockito.internal.configuration,org.mockito.internal.configuration.injection,org.mockito.internal.configuration.injection.filter,org.mockito.internal.configuration.injection.scanner,org.mockito.internal.configuration.plugins,org.mockito.internal.creation,org.mockito.internal.creation.bytebuddy,org.mockito.internal.creation.bytebuddy.inject,org.mockito.internal.creation.instance,org.mockito.internal.creation.settings,org.mockito.internal.creation.util,org.mockito.internal.debugging,org.mockito.internal.exceptions,org.mockito.internal.exceptions.stacktrace,org.mockito.internal.exceptions.util,org.mockito.internal.framework,org.mockito.internal.hamcrest,org.mockito.internal.handler,org.mockito.internal.invocation,org.mockito.internal.invocation.finder,org.mockito.internal.invocation.mockref,org.mockito.internal.junit,org.mockito.internal.junit.util,org.mockito.internal.listeners,org.mockito.internal.matchers,org.mockito.internal.matchers.apachecommons,org.mockito.internal.matchers.text,org.mockito.internal.progress,org.mockito.internal.reporting,org.mockito.internal.runners,org.mockito.internal.runners.util,org.mockito.internal.session,org.mockito.internal.stubbing,org.mockito.internal.stubbing.answers,org.mockito.internal.stubbing.defaultanswers,org.mockito.internal.util,org.mockito.internal.util.collections,org.mockito.internal.util.concurrent,org.mockito.internal.util.io,org.mockito.internal.util.reflection,org.mockito.internal.verification,org.mockito.internal.verification.api,org.mockito.internal.verification.argumentmatching,org.mockito.internal.verification.checkers,org.mockito.invocation,org.mockito.junit,org.mockito.listeners,org.mockito.mock,org.mockito.plugins,org.mockito.quality,org.mockito.runners,org.mockito.session,org.mockito.stubbing,org.mockito.verification,sum_out
org.mockito,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,87,0,0,0,0,0,12,0,7,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,28,1,176
org.mockito.codegen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mockito.configuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mockito.creation.instance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mockito.exceptions.base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.mockito.exceptions.misusing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mockito.exceptions.stacktrace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mockito.exceptions.verification,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
org.mockito.exceptions.verification.junit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.mockito.exceptions.verification.opentest4j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
