,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
org.mockito.internal.configuration.plugins.PluginInitializer,6,0,2,2,0,
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls,6,2,5,3,0,
org.mockito.internal.hamcrest.MatcherGenericTypeExtractor,1,0,0,0,0,
org.mockito.internal.util.ObjectMethodsGuru,3,0,2,0,0,
org.mockito.internal.verification.AtLeast,14,2,5,0,0,
org.mockito.internal.creation.bytebuddy.MockAccess,0,0,0,0,0,
org.mockito.internal.handler.MockHandlerFactory,0,0,2,0,0,
org.mockito.internal.invocation.TypeSafeMatching,1,1,1,1,0,
org.mockito.internal.matchers.InstanceOf,1,2,2,0,0,
org.mockito.internal.configuration.injection.filter.OngoingInjector,0,0,0,0,0,
org.mockito.internal.debugging.VerboseMockInvocationLogger,11,1,3,0,0,
org.mockito.internal.exceptions.stacktrace.StackTraceFilter,6,0,2,1,0,
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,3,0,2,0,0,
org.mockito.internal.invocation.finder.AllInvocationsFinder,2,0,5,0,0,
org.mockito.internal.runners.util.FailureDetector,0,0,0,0,0,
org.mockito.exceptions.misusing.FriendlyReminderException,0,1,1,0,0,
org.mockito.internal.progress.SequenceNumber,0,0,0,0,0,
org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf,7,1,3,1,0,
org.mockito.internal.exceptions.ExceptionIncludingMockitoWarnings,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator,4,1,0,1,0,
org.mockito.exceptions.verification.SmartNullPointerException,0,1,1,0,0,
org.mockito.internal.stubbing.defaultanswers.ReturnsMocks,2,1,4,1,0,
org.mockito.internal.util.ConsoleMockitoLogger,0,1,1,0,0,
org.mockito.internal.invocation.UnusedStubsFinder,4,0,3,0,0,
org.mockito.internal.matchers.LessOrEqual,0,1,0,0,0,
org.mockito.internal.debugging.InvocationsPrinter,13,0,4,0,0,
org.mockito.internal.verification.VerificationOverTimeImpl,4,1,4,2,0,
org.mockito.internal.verification.VerificationModeFactory,0,0,1,0,0,
org.mockito.listeners.MockCreationListener,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.ModuleHandler,7,0,2,1,0,
org.mockito.internal.junit.StubbingArgMismatches,6,0,2,0,0,
org.mockito.internal.exceptions.Reporter,119,0,21,0,0,
org.mockito.internal.configuration.IndependentAnnotationEngine,6,2,6,0,0,
org.mockito.internal.verification.api.VerificationDataInOrder,0,0,0,0,0,
org.mockito.invocation.MatchableInvocation,0,0,0,0,0,
org.mockito.internal.creation.SuspendMethod,0,0,0,0,0,
org.mockito.verification.VerificationEvent,0,0,0,0,0,
org.mockito.exceptions.verification.opentest4j.ArgumentsAreDifferent,2,0,1,0,0,
org.mockito.internal.progress.ArgumentMatcherStorageImpl,4,1,5,0,0,
org.mockito.internal.creation.bytebuddy.MockMethodInterceptor,4,0,5,3,0,
org.mockito.internal.junit.UniversalTestListener,13,2,4,2,0,
org.mockito.internal.verification.NoMoreInteractions,8,2,5,0,0,
org.mockito.internal.configuration.injection.MockInjectionStrategy,0,0,0,0,0,
org.mockito.internal.matchers.CompareEqual,0,1,0,0,0,
org.mockito.internal.creation.bytebuddy.SubclassInjectionLoader,8,3,3,1,0,
org.mockito.internal.invocation.RealMethod,0,0,0,1,0,
org.mockito.internal.invocation.mockref.MockStrongReference,0,1,0,0,0,
org.mockito.exceptions.base.MockitoSerializationIssue,1,0,1,0,0,
org.mockito.internal.runners.util.RunnerProvider,0,0,1,0,0,
org.mockito.MockSettings,0,0,0,0,0,
org.mockito.listeners.VerificationListener,0,0,0,0,0,
org.mockito.internal.configuration.injection.scanner.InjectMocksScanner,1,0,0,0,0,
org.mockito.internal.debugging.LocationImpl,1,1,2,1,0,
org.mockito.runners.ConsoleSpammingMockitoJUnitRunner,6,1,5,2,0,
org.mockito.exceptions.verification.NeverWantedButInvoked,0,1,1,0,0,
org.mockito.junit.MockitoRule,0,0,0,0,0,
org.mockito.internal.configuration.injection.SpyOnInjectedFieldsHandler,11,1,6,1,0,
org.mockito.listeners.MethodInvocationReport,0,0,0,0,0,
org.mockito.verification.Timeout,3,2,3,0,0,
org.mockito.internal.creation.instance.InstantiationException,0,1,1,0,0,
org.mockito.internal.util.reflection.InstanceField,6,0,4,1,0,
org.mockito.internal.stubbing.answers.DoesNothing,2,2,3,0,0,
